rho,c_switch,mi_composite,mi_decomp,mi_gap,oracle_cost,always_a_cost,always_b_cost,max_possible_gap,policy_gap,policy_gap_stderr,policy_gap_frac_of_max,hop2_burst_length
0.0,0.2,0.23719297152695312,0.28558403976895136,0.048391068241998236,0.04466458704694004,0.07999999999999999,0.12616666666666906,0.03533541295305995,0.0,1.7991267463384316e-18,0.0,10.0
0.18,0.05,0.23852889997164928,0.28554479314012904,0.04701589316847976,0.039141783240941454,0.08,0.12583904332413484,0.04085821675905855,0.0,1.7991267463384316e-18,0.0,10.0
0.18,0.1,0.23852889997164928,0.28554479314012904,0.04701589316847976,0.04080286686707665,0.08,0.12583904332413484,0.039197133132923355,0.0,1.7991267463384316e-18,0.0,10.0
0.18,0.2,0.23852889997164928,0.28554479314012904,0.04701589316847976,0.044125034119347054,0.08,0.12583904332413484,0.03587496588065295,0.0,1.7991267463384316e-18,0.0,10.0
0.36,0.05,0.23990777699910354,0.2854279093651767,0.04552013236607316,0.038590418767859604,0.08,0.12550052461110298,0.0414095812321404,0.0,1.7991267463384316e-18,0.0,10.0
0.36,0.1,0.23990777699910354,0.2854279093651767,0.04552013236607316,0.04025215823856857,0.08,0.12550052461110298,0.03974784176143143,0.0,1.7991267463384316e-18,0.0,10.0
0.36,0.2,0.23990777699910354,0.2854279093651767,0.04552013236607316,0.0435756371799865,0.08,0.12550052461110298,0.0364243628200135,0.0,1.7991267463384316e-18,0.0,10.0
0.54,0.05,0.24133170133617943,0.28523367577722186,0.043901974441042435,0.0380276971879744,0.07999999999999999,0.12515055783638354,0.04197230281202559,0.0,1.7991267463384316e-18,0.0,10.0
0.54,0.1,0.24133170133617943,0.28523367577722186,0.043901974441042435,0.03969040165099891,0.07999999999999999,0.12515055783638354,0.04030959834900108,0.0,1.7991267463384316e-18,0.0,10.0
0.54,0.2,0.24133170133617943,0.28523367577722186,0.043901974441042435,0.04301581057704791,0.07999999999999999,0.12515055783638354,0.03698418942295208,0.0,1.7991267463384316e-18,0.0,10.0
0.72,0.05,0.24280291022460454,0.28496125888377677,0.04215834865917223,0.03745295506626671,0.07999999999999999,0.12478855228388108,0.04254704493373328,0.0,1.7991267463384316e-18,0.0,10.0
0.72,0.1,0.24280291022460454,0.28496125888377677,0.04215834865917223,0.03911694657354387,0.07999999999999999,0.12478855228388108,0.040883053426456116,0.0,1.7991267463384316e-18,0.0,10.0
0.72,0.2,0.24280291022460454,0.28496125888377677,0.04215834865917223,0.042444929588098174,0.07999999999999999,0.12478855228388108,0.037555070411901814,0.0,1.7991267463384316e-18,0.0,10.0
0.9,0.05,0.24432379099050316,0.28460887281019753,0.04028508181969437,0.03686548361759903,0.08,0.12441387588524683,0.04313451638240097,0.0,1.7991267463384316e-18,0.0,10.0
0.9,0.1,0.24432379099050316,0.28460887281019753,0.04028508181969437,0.03853109807162197,0.08,0.12441387588524683,0.04146890192837803,0.0,1.7991267463384316e-18,0.0,10.0
0.9,0.2,0.24432379099050316,0.28460887281019753,0.04028508181969437,0.041862326979667866,0.08,0.12441387588524683,0.038137673020332136,0.0,1.7991267463384316e-18,0.0,10.0
0.0,0.05,0.3084697335435542,0.36168655359539265,0.05321682005183842,0.045442067736185573,0.07999999999999999,0.19499999999999856,0.034557932263814414,0.0,1.7991267463384316e-18,0.0,20.0
0.0,0.1,0.3084697335435542,0.36168655359539265,0.05321682005183842,0.046865546218487604,0.07999999999999999,0.19499999999999856,0.033134453781512384,0.0,1.7991267463384316e-18,0.0,20.0
0.0,0.2,0.3084697335435542,0.36168655359539265,0.05321682005183842,0.04971250318309163,0.07999999999999999,0.19499999999999856,0.030287496816908357,0.0,1.7991267463384316e-18,0.0,20.0
0.18,0.05,0.3098680924546364,0.361665898209876,0.05179780575523957,0.044971243647920864,0.08000000000000002,0.19471018232067078,0.03502875635207915,0.0,1.7991267463384316e-18,0.0,20.0
0.18,0.1,0.3098680924546364,0.361665898209876,0.05179780575523957,0.04639533158507779,0.08000000000000002,0.19471018232067078,0.033604668414922226,0.0,1.7991267463384316e-18,0.0,20.0
0.18,0.2,0.3098680924546364,0.361665898209876,0.05179780575523957,0.049243507459391656,0.08000000000000002,0.19471018232067078,0.03075649254060836,0.0,1.7991267463384316e-18,0.0,20.0
0.36,0.05,0.31129346749689296,0.36160388666945864,0.05031041917256568,0.044494090071689626,0.08000000000000002,0.19441460041291453,0.03550590992831039,0.0,1.7991267463384316e-18,0.0,20.0
0.36,0.1,0.31129346749689296,0.36160388666945864,0.05031041917256568,0.045918919065746605,0.08000000000000002,0.19441460041291453,0.03408108093425341,0.0,1.7991267463384316e-18,0.0,20.0
0.36,0.2,0.31129346749689296,0.36160388666945864,0.05031041917256568,0.048768577053860576,0.08000000000000002,0.19441460041291453,0.03123142294613944,0.0,1.7991267463384316e-18,0.0,20.0
